year,party,voteshare,chancellor,chancellor_party,gov,term,unemp,cdsu_gov,spd_gov,fdp_gov,gru_gov,lin_gov
1949,cdu,31,NA,NA,NA,NA,11,NA,NA,NA,NA,0
1949,fdp,11.899999618530300,NA,NA,NA,NA,11,NA,NA,NA,NA,0
1949,oth,27.899999618530300,NA,NA,NA,NA,11,NA,NA,NA,NA,0
1949,spd,29.200000762939500,NA,NA,NA,NA,11,NA,NA,NA,NA,0
1953,cdu,45.20000076293950,cdu,1,1,1,8.399999618530270,1,0,1,0,0
1953,fdp,9.5,cdu,0,1,1,8.399999618530270,1,0,1,0,0
1953,oth,16.5,cdu,0,0,1,8.399999618530270,1,0,1,0,0
1953,spd,28.799999237060500,cdu,0,0,1,8.399999618530270,1,0,1,0,0
1957,cdu,50.20000076293950,cdu,1,1,2,3.700000047683720,1,0,1,0,0
1957,fdp,7.699999809265140,cdu,0,1,2,3.700000047683720,1,0,1,0,0
1957,oth,10.300000190734900,cdu,0,0,2,3.700000047683720,1,0,1,0,0
1957,spd,31.799999237060500,cdu,0,0,2,3.700000047683720,1,0,1,0,0
1961,cdu,45.29999923706060,cdu,1,1,3,0.800000011920929,1,0,0,0,0
1961,fdp,12.800000190734900,cdu,0,0,3,0.800000011920929,1,0,0,0,0
1961,oth,5.699999809265140,cdu,0,0,3,0.800000011920929,1,0,0,0,0
1961,spd,36.20000076293950,cdu,0,0,3,0.800000011920929,1,0,0,0,0
1965,cdu,47.599998474121100,cdu,1,1,4,0.699999988079071,1,0,1,0,0
1965,fdp,9.5,cdu,0,1,4,0.699999988079071,1,0,1,0,0
1965,oth,3.6000022888183600,cdu,0,0,4,0.699999988079071,1,0,1,0,0
1965,spd,39.29999923706060,cdu,0,0,4,0.699999988079071,1,0,1,0,0
1969,cdu,46.099998474121100,cdu,1,1,5,0.8999999761581420,1,1,0,0,0
1969,fdp,5.800000190734860,cdu,0,0,5,0.8999999761581420,1,1,0,0,0
1969,oth,5.40000057220459,cdu,0,0,5,0.8999999761581420,1,1,0,0,0
1969,spd,42.70000076293950,cdu,0,1,5,0.8999999761581420,1,1,0,0,0
1972,cdu,44.900001525878900,spd,0,0,1,1.100000023841860,0,1,1,0,0
1972,fdp,8.399999618530270,spd,0,1,1,1.100000023841860,0,1,1,0,0
1972,oth,0.8999996185302730,spd,0,0,1,1.100000023841860,0,1,1,0,0
1972,spd,45.79999923706060,spd,1,1,1,1.100000023841860,0,1,1,0,0
1976,cdu,48.599998474121100,spd,0,0,2,4.599999904632570,0,1,1,0,0
1976,fdp,7.900000095367430,spd,0,1,2,4.599999904632570,0,1,1,0,0
1976,oth,0.9000029563903810,spd,0,0,2,4.599999904632570,0,1,1,0,0
1976,spd,42.599998474121100,spd,1,1,2,4.599999904632570,0,1,1,0,0
1980,cdu,44.5,spd,0,0,3,3.799999952316280,0,1,1,0,0
1980,fdp,10.600000381469700,spd,0,1,3,3.799999952316280,0,1,1,0,0
1980,gru,1.5,spd,0,0,3,3.799999952316280,0,1,1,0,0
1980,oth,0.4999980926513670,spd,0,0,3,3.799999952316280,0,1,1,0,0
1980,spd,42.900001525878900,spd,1,1,3,3.799999952316280,0,1,1,0,0
1983,cdu,48.79999923706060,spd,0,0,4,9.100000381469730,0,1,1,0,0
1983,fdp,7,spd,0,1,4,9.100000381469730,0,1,1,0,0
1983,gru,5.599999904632570,spd,0,0,4,9.100000381469730,0,1,1,0,0
1983,oth,0.40000009536743200,spd,0,0,4,9.100000381469730,0,1,1,0,0
1983,spd,38.20000076293950,spd,1,1,4,9.100000381469730,0,1,1,0,0
1987,cdu,44.29999923706060,cdu,1,1,1,8.899999618530270,1,0,1,0,0
1987,fdp,9.100000381469730,cdu,0,1,1,8.899999618530270,1,0,1,0,0
1987,gru,8.300000190734860,cdu,0,0,1,8.899999618530270,1,0,1,0,0
1987,oth,1.3000001907348600,cdu,0,0,1,8.899999618530270,1,0,1,0,0
1987,spd,37,cdu,0,0,1,8.899999618530270,1,0,1,0,0
1990,cdu,43.79999923706060,cdu,1,1,2,7.199999809265140,1,0,1,0,0
1990,fdp,11,cdu,0,1,2,7.199999809265140,1,0,1,0,0
1990,gru,5.099999904632570,cdu,0,0,2,7.199999809265140,1,0,1,0,0
1990,lin,2.4000000953674300,cdu,0,0,2,7.199999809265140,1,0,1,0,0
1990,oth,4.200000762939450,cdu,0,0,2,7.199999809265140,1,0,1,0,0
1990,spd,33.5,cdu,0,0,2,7.199999809265140,1,0,1,0,0
1994,cdu,41.400001525878900,cdu,1,1,3,10.600000381469700,1,0,1,0,0
1994,fdp,6.900000095367430,cdu,0,1,3,10.600000381469700,1,0,1,0,0
1994,gru,7.300000190734860,cdu,0,0,3,10.600000381469700,1,0,1,0,0
1994,lin,4.400000095367430,cdu,0,0,3,10.600000381469700,1,0,1,0,0
1994,oth,3.599996566772460,cdu,0,0,3,10.600000381469700,1,0,1,0,0
1994,spd,36.400001525878900,cdu,0,0,3,10.600000381469700,1,0,1,0,0
1998,cdu,35.099998474121100,cdu,1,1,4,12.300000190734900,1,0,1,0,0
1998,fdp,6.199999809265140,cdu,0,1,4,12.300000190734900,1,0,1,0,0
1998,gru,6.699999809265140,cdu,0,0,4,12.300000190734900,1,0,1,0,0
1998,lin,5.099999904632570,cdu,0,0,4,12.300000190734900,1,0,1,0,0
1998,oth,6.000000476837160,cdu,0,0,4,12.300000190734900,1,0,1,0,0
1998,spd,40.900001525878900,cdu,0,0,4,12.300000190734900,1,0,1,0,0
2002,cdu,38.5,spd,0,0,1,10.800000190734900,0,1,0,1,0
2002,fdp,7.400000095367430,spd,0,0,1,10.800000190734900,0,1,0,1,0
2002,gru,8.600000381469730,spd,0,1,1,10.800000190734900,0,1,0,1,0
2002,lin,4,spd,0,0,1,10.800000190734900,0,1,0,1,0
2002,oth,2.999999523162840,spd,0,0,1,10.800000190734900,0,1,0,1,0
2002,spd,38.5,spd,1,1,1,10.800000190734900,0,1,0,1,0
2005,cdu,35.20000076293950,spd,0,0,2,13,0,1,0,1,0
2005,fdp,9.800000190734860,spd,0,0,2,13,0,1,0,1,0
2005,gru,8.100000381469730,spd,0,1,2,13,0,1,0,1,0
2005,lin,8.699999809265140,spd,0,0,2,13,0,1,0,1,0
2005,oth,3.999998092651370,spd,0,0,2,13,0,1,0,1,0
2005,spd,34.20000076293950,spd,1,1,2,13,0,1,0,1,0
2009,cdu,33.79999923706060,cdu,1,1,1,8.199999809265140,1,1,0,0,0
2009,fdp,14.600000381469700,cdu,0,0,1,8.199999809265140,1,1,0,0,0
2009,gru,10.699999809265100,cdu,0,0,1,8.199999809265140,1,1,0,0,0
2009,lin,11.899999618530300,cdu,0,0,1,8.199999809265140,1,1,0,0,0
2009,oth,6.000000953674320,cdu,0,0,1,8.199999809265140,1,1,0,0,0
2009,spd,23,cdu,0,1,1,8.199999809265140,1,1,0,0,0
2013,afd,4.699999809265140,cdu,0,0,2,7,1,0,1,0,0
2013,cdu,41.5,cdu,1,1,2,7,1,0,1,0,0
2013,fdp,4.8,cdu,0,1,2,7,1,0,1,0,0
2013,gru,8.4,cdu,0,0,2,7,1,0,1,0,0
2013,lin,8.6,cdu,0,0,2,7,1,0,1,0,0
2013,oth,6.300000190734860,cdu,0,0,2,7,1,0,1,0,0
2013,spd,25.7,cdu,0,0,2,7,1,0,1,0,0
2017,afd,12.6,cdu,0,0,3,6.3,1,1,0,0,0
2017,cdu,33,cdu,1,1,3,6.3,1,1,0,0,0
2017,fdp,10.7,cdu,0,0,3,6.3,1,1,0,0,0
2017,gru,8.9,cdu,0,0,3,6.3,1,1,0,0,0
2017,lin,9.2,cdu,0,0,3,6.3,1,1,0,0,0
2017,oth,5.1,cdu,0,0,3,6.3,1,1,0,0,0
2017,spd,20.5,cdu,0,1,3,6.3,1,1,0,0,0
2021,afd,NA,cdu,0,0,4,6.3,1,1,0,0,0
2021,cdu,NA,cdu,1,1,4,6.3,1,1,0,0,0
2021,fdp,NA,cdu,0,0,4,6.3,1,1,0,0,0
2021,gru,NA,cdu,0,0,4,6.3,1,1,0,0,0
2021,lin,NA,cdu,0,0,4,6.3,1,1,0,0,0
2021,oth,NA,cdu,0,0,4,6.3,1,1,0,0,0
2021,spd,NA,cdu,0,1,4,6.3,1,1,0,0,0