election_year,party,voteshare,chancellor,chancellor_party,gov,term,unemp,cdsu_gov,spd_gov,fdp_gov,gru_gov,lin_gov,lag_voteshare,polls_300_days_out,polls_200_days_out,prop_poll300_diff_from_lag_vote
1949,cdu,0.31,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,fdp,0.118999996185303,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,oth,0.27899999618530297,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1949,spd,0.292000007629395,NA,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA
1953,cdu,0.452000007629395,cdu,1,1,1,8.39999961853027,1,0,1,0,0,0.31,0.33026972923786163,0.349698189995912,0.06538622334794075
1953,fdp,0.095,cdu,0,1,1,8.39999961853027,1,0,1,0,0,0.118999996185303,0.13497823056631492,0.132589646162452,0.1342708814555852
1953,oth,0.165,cdu,0,0,1,8.39999961853027,1,0,1,0,0,0.27899999618530297,0.17666449491458552,0.17092334075687549,0.3667939163796599
1953,spd,0.28799999237060503,cdu,0,0,1,8.39999961853027,1,0,1,0,0,0.292000007629395,0.34858705867308154,0.3435494188458309,0.1937912656341659
1957,cdu,0.502000007629395,cdu,1,1,2,3.70000004768372,1,0,1,0,0,0.452000007629395,0.3873585771669148,0.41575243128064543,0.14301201188359533
1957,fdp,0.0769999980926514,cdu,0,1,2,3.70000004768372,1,0,1,0,0,0.095,0.08232216415279184,0.08271898622695581,0.13345090365482276
1957,oth,0.10300000190734901,cdu,0,0,2,3.70000004768372,1,0,1,0,0,0.165,0.0964689647000876,0.09960852437670904,0.41533960787825697
1957,spd,0.317999992370605,cdu,0,0,2,3.70000004768372,1,0,1,0,0,0.28799999237060503,0.41602616685851174,0.4084789649862086,0.444535339859175
1961,cdu,0.45299999237060595,cdu,1,1,3,0.800000011920929,1,0,0,0,0,0.502000007629395,0.482217619211249,0.4644301198138756,0.039407147644408974
1961,fdp,0.128000001907349,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.0769999980926514,0.06211808095783067,0.06950966083808341,0.19327165588905396
1961,oth,0.056999998092651404,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.10300000190734901,0.05706707397545718,0.05524520708882741,0.44595074836221466
1961,spd,0.36200000762939505,cdu,0,0,3,0.800000011920929,1,0,0,0,0,0.317999992370605,0.40980368807374823,0.3959060486131441,0.2886908739172325
1965,cdu,0.475999984741211,cdu,1,1,4,0.699999988079071,1,0,1,0,0,0.45299999237060595,0.4469647436254384,0.4378991718811088,0.013322845136452025
1965,fdp,0.095,cdu,0,1,4,0.699999988079071,1,0,1,0,0,0.128000001907349,0.05801912700821928,0.08260471324472865,0.5467255770026034
1965,oth,0.036000022888183596,cdu,0,0,4,0.699999988079071,1,0,1,0,0,0.056999998092651404,0.03157881313294648,0.03013672051586653,0.44598571597114306
1965,spd,0.39299999237060596,cdu,0,0,4,0.699999988079071,1,0,1,0,0,0.36200000762939505,0.4700085342528617,0.44958312019173147,0.2983660893566682
1969,cdu,0.460999984741211,cdu,1,1,5,0.899999976158142,1,1,0,0,0,0.475999984741211,0.4298269441012876,0.4366677889464214,0.09700218932785584
1969,fdp,0.058000001907348595,cdu,0,0,5,0.899999976158142,1,1,0,0,0,0.095,0.0859845635458746,0.0812564330004621,0.0948993310960569
1969,oth,0.0540000057220459,cdu,0,0,5,0.899999976158142,1,1,0,0,0,0.036000022888183596,0.03869950001736011,0.05913665875284557,0.07498542813600748
1969,spd,0.42700000762939505,cdu,0,1,5,0.899999976158142,1,1,0,0,0,0.39299999237060596,0.44639281202142056,0.4255227297984841,0.13585959462427732
1972,cdu,0.44900001525878896,spd,0,0,1,1.10000002384186,0,1,1,0,0,0.460999984741211,0.4355936109896548,0.440345510308668,0.05511144163229945
1972,fdp,0.0839999961853027,spd,0,1,1,1.10000002384186,0,1,1,0,0,0.058000001907348595,0.05058199188465732,0.05225901323227353,0.12789672032323526
1972,oth,0.00899999618530273,spd,0,0,1,1.10000002384186,0,1,1,0,0,0.0540000057220459,0.01125782794017587,0.0175461637732866,0.7915217269027107
1972,spd,0.45799999237060596,spd,1,1,1,1.10000002384186,0,1,1,0,0,0.42700000762939505,0.4996255450834356,0.5077623989390905,0.17008322284873173
1976,cdu,0.48599998474121103,spd,0,0,2,4.59999990463257,0,1,1,0,0,0.44900001525878896,0.4887749158253971,0.5156622771324287,0.08858552163674915
1976,fdp,0.0790000009536743,spd,0,1,2,4.59999990463257,0,1,1,0,0,0.0839999961853027,0.0938555471270538,0.08514194952431511,0.11732799273002233
1976,oth,0.00900002956390381,spd,0,0,2,4.59999990463257,0,1,1,0,0,0.00899999618530273,0.01332157723793174,0.01320393196288124,0.48017587603940154
1976,spd,0.42599998474121104,spd,1,1,2,4.59999990463257,0,1,1,0,0,0.45799999237060596,0.4065804654979992,0.3845645735551534,0.11226971119903192
1980,cdu,0.445,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.48599998474121103,0.45728190103934074,0.4541207985842846,0.05909070906074681
1980,fdp,0.106000003814697,spd,0,1,3,3.79999995231628,0,1,1,0,0,0.0790000009536743,0.07002565688491061,0.07122186752775357,0.11359929063831596
1980,gru,0.015,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.001,0.001,0.001,0
1980,oth,0.00499998092651367,spd,0,0,3,3.79999995231628,0,1,1,0,0,0.00900002956390381,0.00606263119777506,0.00529869750108601,0.3263765241293983
1980,spd,0.429000015258789,spd,1,1,3,3.79999995231628,0,1,1,0,0,0.42599998474121104,0.4211994311275375,0.43280868700037006,0.011268905600054916
1983,cdu,0.487999992370606,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.445,0.5016258090291483,0.579457728290785,0.1272490090542659
1983,fdp,0.07,spd,0,1,4,9.10000038146973,0,1,1,0,0,0.106000003814697,0.07416235524022387,0.04751585607105524,0.3003551644217848
1983,gru,0.0559999990463257,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.015,0.07070306572828598,0.0776483139787208,3.713537715219066
1983,oth,0.00400000095367432,spd,0,0,4,9.10000038146973,0,1,1,0,0,0.00499998092651367,0.00920539197051871,0.01206365013255967,0.8410854172872501
1983,spd,0.382000007629395,spd,1,1,4,9.10000038146973,0,1,1,0,0,0.429000015258789,0.3415566641865291,0.28157680578183986,0.20383064793018899
1987,cdu,0.44299999237060594,cdu,1,1,1,8.89999961853027,1,0,1,0,0,0.487999992370606,0.455724055860798,0.4563535462110835,0.06613921519346334
1987,fdp,0.0910000038146973,cdu,0,1,1,8.89999961853027,1,0,1,0,0,0.07,0.04960271746114652,0.05465071258485576,0.2913897505550498
1987,gru,0.0830000019073486,cdu,0,0,1,8.89999961853027,1,0,1,0,0,0.0559999990463257,0.0695667794353446,0.06902548307886944,0.2422639396439249
1987,oth,0.0130000019073486,cdu,0,0,1,8.89999961853027,1,0,1,0,0,0.00400000095367432,0.00648680937637295,0.00685240497591889,0.6217019574493595
1987,spd,0.37,cdu,0,0,1,8.89999961853027,1,0,1,0,0,0.382000007629395,0.4198770003217846,0.4113632350913887,0.09915442915157403
1990,cdu,0.43799999237060594,cdu,1,1,2,7.19999980926514,1,0,1,0,0,0.44299999237060594,0.41795153911818017,0.4281482874854119,0.05654278483930691
1990,fdp,0.11,cdu,0,1,2,7.19999980926514,1,0,1,0,0,0.0910000038146973,0.07755270470119935,0.08044873835131396,0.14777251153615995
1990,gru,0.050999999046325704,cdu,0,0,2,7.19999980926514,1,0,1,0,0,0.0830000019073486,0.07434044407349936,0.07210899346758358,0.1043320196970085
1990,lin,0.0240000009536743,cdu,0,0,2,7.19999980926514,1,0,1,0,0,0.001,0.001,0.001,0
1990,oth,0.042000007629394494,cdu,0,0,2,7.19999980926514,1,0,1,0,0,0.0130000019073486,0.04503170100848201,0.02584689780188542,2.4639764924208687
1990,spd,0.335,cdu,0,0,2,7.19999980926514,1,0,1,0,0,0.37,0.38800699666227295,0.38879693400440696,0.04866755854668366
1994,cdu,0.414000015258789,cdu,1,1,3,10.6000003814697,1,0,1,0,0,0.43799999237060594,0.32526397802318036,0.350760994564576,0.25738816509393
1994,fdp,0.0690000009536743,cdu,0,1,3,10.6000003814697,1,0,1,0,0,0.11,0.06612710908013612,0.06081471727236157,0.3988444629078534
1994,gru,0.0730000019073486,cdu,0,0,3,10.6000003814697,1,0,1,0,0,0.050999999046325704,0.09674919244350332,0.09443586801604852,0.8970430245620488
1994,lin,0.0440000009536743,cdu,0,0,3,10.6000003814697,1,0,1,0,0,0.0240000009536743,0.03210917388973387,0.03195217356370569,0.3378821922429169
1994,oth,0.0359999656677246,cdu,0,0,3,10.6000003814697,1,0,1,0,0,0.042000007629394494,0.05313782922493774,0.04542057616964924,0.2651861802936491
1994,spd,0.364000015258789,cdu,0,0,3,10.6000003814697,1,0,1,0,0,0.335,0.4280253724759949,0.4194804328626166,0.2776876790328206
1998,cdu,0.350999984741211,cdu,1,1,4,12.3000001907349,1,0,1,0,0,0.414000015258789,0.3680038170282925,0.35022722223611963,0.11110192399810552
1998,fdp,0.0619999980926514,cdu,0,1,4,12.3000001907349,1,0,1,0,0,0.0690000009536743,0.0521516699826506,0.05143973369376047,0.24417870635009775
1998,gru,0.0669999980926514,cdu,0,0,4,12.3000001907349,1,0,1,0,0,0.0730000019073486,0.1087175552064742,0.08262900321142756,0.48928153925883777
1998,lin,0.050999999046325704,cdu,0,0,4,12.3000001907349,1,0,1,0,0,0.0440000009536743,0.04290043947595949,0.04583645431690158,0.024990033042782998
1998,oth,0.0600000047683716,cdu,0,0,4,12.3000001907349,1,0,1,0,0,0.0359999656677246,0.04590343240906637,0.04776505744694195,0.2750965607231294
1998,spd,0.409000015258789,cdu,0,0,4,12.3000001907349,1,0,1,0,0,0.364000015258789,0.38303182777425665,0.42397592710883386,0.05228519702653533
2002,cdu,0.385,spd,0,0,1,10.8000001907349,0,1,0,1,0,0.350999984741211,0.348008850411513,0.402585944485462,0.008521750597520203
2002,fdp,0.0740000009536743,spd,0,0,1,10.8000001907349,0,1,0,1,0,0.0619999980926514,0.08438568326875023,0.08712967356000456,0.36105944943169466
2002,gru,0.0860000038146973,spd,0,1,1,10.8000001907349,0,1,0,1,0,0.0669999980926514,0.05723507630330796,0.0603854379331846,0.14574510548253986
2002,lin,0.04,spd,0,0,1,10.8000001907349,0,1,0,1,0,0.050999999046325704,0.06943301253185662,0.06010977222172953,0.3614316437297839
2002,oth,0.0299999952316284,spd,0,0,1,10.8000001907349,0,1,0,1,0,0.0600000047683716,0.04005043272603252,0.0336372889592557,0.33249284094816095
2002,spd,0.385,spd,1,1,1,10.8000001907349,0,1,0,1,0,0.409000015258789,0.4015092576807583,0.3562079583860916,0.018314810020950787
2005,cdu,0.35200000762939504,spd,0,0,2,13,0,1,0,1,0,0.385,0.3899545200741696,0.4194226801130775,0.012868883309531369
2005,fdp,0.0980000019073486,spd,0,0,2,13,0,1,0,1,0,0.0740000009536743,0.07733764105548405,0.07068690623416266,0.045103244037782965
2005,gru,0.0810000038146973,spd,0,1,2,13,0,1,0,1,0,0.0860000038146973,0.1126160833238743,0.09666053300087007,0.3094892828903379
2005,lin,0.08699999809265141,spd,0,0,2,13,0,1,0,1,0,0.04,0.05537906553607887,0.04783234614179635,0.38447663840197166
2005,oth,0.0399999809265137,spd,0,0,2,13,0,1,0,1,0,0.0299999952316284,0.04913559438803149,0.0517273582619472,0.6378534065975052
2005,spd,0.34200000762939503,spd,1,1,2,13,0,1,0,1,0,0.385,0.31366781889985484,0.31764106166529266,0.1852783924679095
2009,cdu,0.33799999237060596,cdu,1,1,1,8.19999980926514,1,1,0,0,0,0.35200000762939504,0.36321048000641487,0.3377785937104121,0.0318479321989755
2009,fdp,0.146000003814697,cdu,0,0,1,8.19999980926514,1,1,0,0,0,0.0980000019073486,0.12058840878975954,0.16223714142397966,0.2304939432936596
2009,gru,0.106999998092651,cdu,0,0,1,8.19999980926514,1,1,0,0,0,0.0810000038146973,0.10472225077779904,0.10358860324791892,0.29286723266545556
2009,lin,0.118999996185303,cdu,0,0,1,8.19999980926514,1,1,0,0,0,0.08699999809265141,0.12258803921170272,0.10848885071164528,0.4090579528651428
2009,oth,0.0600000095367432,cdu,0,0,1,8.19999980926514,1,1,0,0,0,0.0399999809265137,0.04592346313953874,0.03901778609371641,0.14808712593907028
2009,spd,0.23,cdu,0,1,1,8.19999980926514,1,1,0,0,0,0.34200000762939503,0.24342434689567624,0.251390204675159,0.288232919692035
2013,afd,0.0469999980926514,cdu,0,0,2,7,1,0,1,0,0,0.001,0.001,0.001,0
2013,cdu,0.415,cdu,1,1,2,7,1,0,1,0,0,0.33799999237060596,0.37703924696224034,0.4015730615193211,0.1155007558367904
2013,fdp,0.048,cdu,0,1,2,7,1,0,1,0,0,0.146000003814697,0.04090853777247501,0.04464476167197943,0.7198045431259299
2013,gru,0.084,cdu,0,0,2,7,1,0,1,0,0,0.106999998092651,0.1457550302287091,0.15341322404305943,0.3621965684756388
2013,lin,0.086,cdu,0,0,2,7,1,0,1,0,0,0.118999996185303,0.07208238419396404,0.0710103657263445,0.39426565962473104
2013,oth,0.0630000019073486,cdu,0,0,2,7,1,0,1,0,0,0.0600000095367432,0.0825826610651293,0.06465336365053605,0.3763774656495145
2013,spd,0.257,cdu,0,0,2,7,1,0,1,0,0,0.23,0.2834855439089803,0.26604596051378,0.23254584308252294
2017,afd,0.126,cdu,0,0,3,6.3,1,1,0,0,0,0.0469999980926514,0.12178244419704382,0.09495048573526968,1.5911159391320249
2017,cdu,0.33,cdu,1,1,3,6.3,1,1,0,0,0,0.415,0.34521674681390013,0.3238527767180688,0.16815241731590325
2017,fdp,0.107,cdu,0,0,3,6.3,1,1,0,0,0,0.048,0.05298392352850012,0.06253356442302158,0.10383174017708582
2017,gru,0.08900000000000001,cdu,0,0,3,6.3,1,1,0,0,0,0.084,0.10775813828146048,0.07187803180609065,0.28283497954119613
2017,lin,0.092,cdu,0,0,3,6.3,1,1,0,0,0,0.086,0.1005405726187356,0.0787747849514141,0.16907642579925125
2017,oth,0.051,cdu,0,0,3,6.3,1,1,0,0,0,0.0630000019073486,0.04840988405847293,0.04779831110423474,0.231589165192927
2017,spd,0.205,cdu,0,1,3,6.3,1,1,0,0,0,0.257,0.223533169187972,0.31927601449216025,0.13022113156431128
2021,afd,NA,cdu,0,0,4,6.3,1,1,0,0,0,0.126,NA,NA,NA
2021,cdu,NA,cdu,1,1,4,6.3,1,1,0,0,0,0.33,NA,NA,NA
2021,fdp,NA,cdu,0,0,4,6.3,1,1,0,0,0,0.107,NA,NA,NA
2021,gru,NA,cdu,0,0,4,6.3,1,1,0,0,0,0.08900000000000001,NA,NA,NA
2021,lin,NA,cdu,0,0,4,6.3,1,1,0,0,0,0.092,NA,NA,NA
2021,oth,NA,cdu,0,0,4,6.3,1,1,0,0,0,0.051,NA,NA,NA
2021,spd,NA,cdu,0,1,4,6.3,1,1,0,0,0,0.205,NA,NA,NA
